epoch,train_loss,train_acc,test_loss,test_acc
1,1.212338406331828,0.5579822345367126,0.9084668321901692,0.6838331160365059
2,0.8887503775715994,0.6799771819737592,0.7886769355042816,0.7092568448500652
3,0.7567422372400493,0.7319696846222802,0.7203078718353282,0.7486962190352021
4,0.6689189384720182,0.762448048243827,0.689202052595718,0.7571707953063885
5,0.6031080807453165,0.7860810039931546,0.679939852699618,0.7695567144719687
6,0.5354478875146733,0.8105288892510798,0.6758552304768967,0.7594524119947849
7,0.4819104277206491,0.8277239018824871,0.6995884383867119,0.7676010430247718
8,0.43389843204534195,0.8445929427104556,0.6945293954096375,0.7676010430247718
9,0.39302710836027527,0.8590171950126314,0.6634052013480524,0.7702086049543677
10,0.33727998356249483,0.8794719256784288,0.7222467074959965,0.7486962190352021
11,0.32181422976213353,0.8840355309265748,0.6903309968179954,0.7715123859191656
12,0.2748344038563732,0.9013935294597017,0.7077531652158366,0.7835723598435462
13,0.25476378968443775,0.9096243174965365,0.7229468892030952,0.771838331160365
14,0.2305868113524717,0.9172031619264933,0.7669460872938612,0.7744458930899609
15,0.2128846326056771,0.9251894711107489,0.7454006951666562,0.7835723598435462
16,0.19029640423795935,0.9341536957053215,0.843753673689928,0.7676010430247718
17,0.17436197856441898,0.936598484231114,0.9033279108099708,0.7760756192959583
18,0.1730634813238624,0.938880286855187,0.8310940811578111,0.7835723598435462
19,0.1449818619378242,0.9495558634178144,0.890403641871088,0.7878096479791395
20,0.14138127110880888,0.9486594409583571,0.9543407742793744,0.7682529335071708
21,0.13107559842154445,0.9537120039116617,1.0010553452306497,0.7783572359843546
22,0.13040256673651834,0.9542009616168201,0.9375396206139586,0.7868318122555411
23,0.12069416460596682,0.9586015809632467,0.9922618315770075,0.7711864406779662
24,0.12990685957037298,0.9553418629288567,1.0582785869048814,0.7819426336375489
25,0.11488936231767972,0.9603129329313015,0.9563048741108746,0.7780312907431551
26,0.1123893916134525,0.9592535245701247,0.9917373888029424,0.788135593220339
27,0.10689936816527203,0.9632466791622525,1.0389132383127722,0.7780312907431551
28,0.10097806822475483,0.9637356368674109,1.0247442062745038,0.779986962190352
29,0.09822529329137429,0.966995354901801,1.0037618374265003,0.7777053455019557
30,0.09333728540789847,0.9657729606389047,1.1281686377027977,0.7878096479791395
