epoch,train_loss,train_acc,test_loss,test_acc
1,1.2734441706685622,0.5350827153451226,1.0280092740152154,0.635593220338983
2,0.9918644477992524,0.649009860647054,0.8808259159676255,0.6975228161668839
3,0.8863279344730317,0.6817700268926737,0.8337729983566016,0.7004563233376793
4,0.8066449860626518,0.7082552359220927,0.8133656778111762,0.7089308996088657
5,0.7643957522035704,0.7265096569146768,0.7612726074464939,0.7356584093872229
6,0.7218694307578531,0.7410154021677124,0.780340964822135,0.7164276401564538
7,0.678439629023509,0.7562545839784859,0.8086613087175412,0.6932855280312907
8,0.6367757291939933,0.7692119631651863,0.720397839023983,0.7490221642764016
9,0.611183719315007,0.78102844103985,0.6989579076406387,0.7548891786179922
10,0.5763240756085833,0.7907261021921603,0.7927367738514867,0.7190352020860495
11,0.5491266031834929,0.8018091435090865,0.7272107805546757,0.7594524119947849
12,0.5113096560974127,0.8115882976122566,0.7271036452078291,0.7451108213820078
13,0.49197863873570036,0.8186781843370549,0.7210100655294615,0.7571707953063885
14,0.45724745245475695,0.834650802705566,0.7712294267395795,0.7438070404172099
15,0.4257956938579024,0.8466302664819493,0.7939431740376598,0.750651890482399
16,0.3334567206635101,0.881998207155081,0.757680773268778,0.7734680573663625
17,0.2865410193566559,0.898378290277891,0.7905586222781662,0.7620599739243807
18,0.25534017578710916,0.9097058104473963,0.8182952730410102,0.7659713168187744
19,0.24161439071015578,0.9124765707766278,0.8630922209019767,0.7532594524119948
20,0.2244914060915588,0.9218482601254991,0.8692566655294526,0.7659713168187744
21,0.20955287414914034,0.9261673865210659,0.8985106657505657,0.7744458930899609
22,0.1455874365943635,0.9533860321082226,0.8763106514297844,0.7783572359843546
23,0.11527646038805435,0.9590905386684052,0.9201191160949299,0.7741199478487614
24,0.10960599559315765,0.963083693260533,0.9654133100708585,0.7731421121251629
25,0.10247192078086122,0.9655284817863254,0.9466467100296369,0.7790091264667536
26,0.08655967508866884,0.9690326786732948,1.0311756425062402,0.7770534550195567
27,0.08742677702954556,0.97058104473963,1.0632055310879724,0.7754237288135594
28,0.06647465841589818,0.9774264526118491,1.03911432806485,0.7838983050847458
29,0.05443889181840858,0.9826420014668731,1.0306270172263372,0.7848761408083442
30,0.05025393490141989,0.9842718604840681,1.080339756674064,0.7803129074315515
