epoch,train_loss,train_acc,test_loss,test_acc,threshold
1,0.9958410597380929,0.4129862532904358,1.9760487938564977,0.2809974923376985,0.3
2,0.8355090045224827,0.5188958356592609,2.133633127847599,0.3101142379492895,0.32413793103448274
3,0.7556669238095697,0.5720751057352981,2.2446667072533164,0.3152688771245472,0.3482758620689655
4,0.7098078556163444,0.5992809153894604,2.4104864708259264,0.3434104207300084,0.37241379310344824
5,0.6439848197736334,0.6402417073797891,2.5500471894207624,0.34800780161604905,0.39655172413793105
6,0.5860683466731644,0.6720364741641337,2.801750448561206,0.3365840066870995,0.4206896551724138
7,0.5414321414547562,0.7010794700328099,2.987137706540826,0.352744497074394,0.44482758620689655
8,0.49169233469103013,0.7279930452061599,3.219818713107658,0.3631930899972137,0.4689655172413793
9,0.4489706555207021,0.7534500209840275,3.1741266415357656,0.3666759543048203,0.49310344827586206
10,0.41232735436853285,0.772663568636129,3.9270184358271027,0.35594873223739204,0.5172413793103448
11,0.3735017781958125,0.7926263889910957,3.9264850967207403,0.3461967121760936,0.5413793103448276
12,0.3459024766992388,0.8072129863134442,3.8509588733161846,0.3760100306492059,0.5655172413793104
13,0.3284307166253195,0.82016975270895,4.117838196848787,0.35692393424352187,0.5896551724137931
14,0.2977120967024096,0.8342214617452945,4.654298963304947,0.35845639453886874,0.6137931034482758
15,0.28604725442783746,0.8410301519816253,4.657408258847853,0.36486486486486486,0.6379310344827587
16,0.27184560873763725,0.8482184287005153,4.8802812304726615,0.35901365282808584,0.6620689655172414
17,0.2556910123662913,0.8584438096633219,4.934046413945634,0.36625801058790747,0.6862068965517241
18,0.2465593780661642,0.8630050042719395,5.065937373590987,0.37587071607690165,0.7103448275862068
19,0.23155277672102928,0.8705055288402861,5.657407925367422,0.3619392588464753,0.7344827586206897
20,0.22110387485460978,0.877370694915668,5.404168316832357,0.3644469211479521,0.7586206896551724
21,0.21306801210345402,0.8813981302936367,5.783555917003819,0.3684870437447757,0.7827586206896552
22,0.2089613495371653,0.8853587115666178,5.817346662424108,0.3701588186124269,0.806896551724138
23,0.1967148388398636,0.8900927281600781,5.762413399835323,0.3689049874616885,0.8310344827586207
24,0.19325886195925787,0.8924597364568082,6.426084286723505,0.3613820005572583,0.8551724137931034
25,0.18560430651026924,0.8980966325036603,6.128737829627682,0.37392031206464194,0.8793103448275861
26,0.17890493218885106,0.8989995119570522,6.638464704201593,0.36486486486486486,0.9034482758620688
27,0.17865481652753995,0.9013177159590043,6.276317809544157,0.36904430203399274,0.9275862068965517
28,0.1680991165726875,0.906564177647633,6.129721137998363,0.3743382557815548,0.9517241379310344
29,0.1688797217127918,0.9062469497315764,6.990387949780124,0.369183616606297,0.9758620689655173
30,0.16250202122041227,0.9099560761346999,6.608405609322179,0.3708553914739482,1.0
