epoch,train_loss,train_acc,test_loss,test_acc
1,1.6212012230355461,0.36584346372217774,1.3808344828448078,0.4765951518528838
2,1.3721834384949505,0.47034031140060606,1.2554006427900144,0.5096127054889942
3,1.2705935878337433,0.5168065763349472,1.1866007621290293,0.5384508219559766
4,1.2021404160921416,0.5426521299940785,1.1750960693149455,0.5412371134020618
5,1.1386270445920967,0.5712494339754084,1.131425991982396,0.571468375592087
6,1.0929556041784665,0.5862273154759832,1.122380086723959,0.5799665645026469
7,1.0450653984170544,0.6048625866453029,1.1143995285632053,0.5755084981889106
8,1.0013887115006346,0.6230450381413494,1.1043889849057733,0.5873502368347729
9,0.9633069918851518,0.6338082134522275,1.0982499297580601,0.5925048760100307
10,0.9194250282808101,0.6538367759239263,1.1310395191193423,0.5989133463360268
11,0.8818620961866532,0.6650876031906371,1.1211878621634683,0.5961270548899414
12,0.8426421787709817,0.6815981051238288,1.1702097020430895,0.6023962106436334
13,0.8052446062074293,0.6975164582535094,1.1282340014303052,0.606436333240457
14,0.7825473899950764,0.7042390887874882,1.1465910834982456,0.609083310114238
15,0.7377622776376304,0.721341739524191,1.1584606125564687,0.6035107272220674
16,0.7040889394449803,0.7368421052631579,1.1644549988776935,0.6075508498188911
17,0.6816446394015805,0.7436344003622557,1.1661175449733516,0.6100585121203678
18,0.6485405807011951,0.7547110662161691,1.2287265806103125,0.6150738367233213
19,0.635136158184645,0.7613640321850291,1.247942956950745,0.6062970186681527
20,0.6138286346522879,0.7688529729353164,1.2487271843381034,0.6078294789634996
21,0.6005729029987411,0.7713957295621582,1.3167229756260357,0.6035107272220674
22,0.5859146490752782,0.7804869553101815,1.2897740938797009,0.6128448035664531
23,0.5563072798589191,0.7915287888815354,1.3310196540853245,0.6124268598495403
24,0.5435582338557389,0.7936535581176635,1.3450839220314976,0.6184173864586235
25,0.5301150397707284,0.7991570587620607,1.3915040604448412,0.6142379492894957
26,0.5047668790077315,0.8055313664704448,1.3962928875471166,0.6134020618556701
27,0.5043244532683604,0.8107213765718068,1.4129634091833503,0.6140986347171914
28,0.4817944727699196,0.8179316590616184,1.3901145058808868,0.6076901643911953
29,0.4726221530497014,0.8195339440593542,1.398300609571351,0.6188353301755364
30,0.4574938102772361,0.8245846250304782,1.5157873778331243,0.6115909724157147
